罎,坛
罰,罚
罵,骂
罷,罢
罸,罚
羅,罗
羆,罴
羈,羁
羋,芈
羗,羌
羢,绒
羣,群
羥,羟
羨,羡
義,义
羶,膻
翄,翅
習,习
翫,玩
翬,翚
翶,翱
翹,翘
翽,翙
耡,锄
耬,耧
耮,耢
聖,圣
聞,闻
聯,联
聰,聪
聲,声
聳,耸
聵,聩
聶,聂
職,职
聹,聍
聽,听
聾,聋
肅,肃
肎,肯
肐,胳
肧,胚
胷,胸
脃,脆
脅,胁
脇,胁
脈,脉
脗,吻
脛,胫
脣,唇
脥,𣍰
脫,脱
脹,胀
腁,胼
腎,肾
腖,胨
腡,脶
腦,脑
腪,𣍯
腫,肿
腳,脚
腸,肠
膃,腽
膓,肠
膕,腘
膚,肤
膞,䏝
膠,胶
膢,𦝼
膩,腻
膽,胆
膾,脍
膿,脓
臈,腊
臉,脸
臋,臀
臍,脐
臏,膑
臕,膘
臗,𣎑
臘,腊
臙,胭
臚,胪
臝,裸
臟,脏
臠,脔
臢,臜
臥,卧
臨,临
臯,皋
臺,台
與,与
興,兴
舉,举
舊,旧
舖,铺
舘,馆
舩,船
艙,舱
艢,樯
艣,橹
艤,舣
艦,舰
艪,橹
艫,舻
艱,艰
艷,艳
芲,花
芻,刍
苧,苎
茘,荔
茲,兹
荊,荆
荳,豆
莊,庄
莖,茎
莢,荚
莧,苋
華,华
菸,烟
萇,苌
萊,莱
萬,万
萲,萱
萴,荝
萵,莴
葉,叶
葒,荭
葠,参
葤,荮
葦,苇
葯,药
葷,荤
蒓,莼
蒔,莳
蒞,莅
蒼,苍
蓀,荪
蓆,席
蓋,盖
蓡,参
蓮,莲
蓯,苁
蓴,莼
蓽,荜
蔄,𬜬
蔔,卜
蔕,蒂
蔘,参
蔞,蒌
蔣,蒋
蔥,葱
蔦,茑
蔭,荫
蔿,𫇭
蕁,荨
蕆,蒇
蕎,荞
蕒,荬
蕓,芸
蕕,莸
蕘,荛
蕚,萼
蕢,蒉
蕩,荡
蕪,芜
蕭,萧
蕷,蓣
蕿,萱
薀,蕰
薈,荟
薊,蓟
薌,芗
薑,姜
薔,蔷
薘,荙
薟,莶
薦,荐
薩,萨
薴,苧
薺,荠
藍,蓝
藎,荩
藝,艺
藥,药
藪,薮
藭,䓖
藴,蕴
藶,苈
藷,薯
藹,蔼
藺,蔺
藼,萱
蘀,萚
蘄,蕲
蘆,芦
蘇,苏
蘊,蕴
蘋,𬞟
蘐,萱
蘓,苏
蘚,藓
蘞,蔹
蘢,茏
蘤,花
蘭,兰
蘺,蓠
蘿,萝
虆,蔂
虉,𬟁
處,处
虛,虚
虜,虏
號,号
虧,亏
虯,虬
蚘,蛔
蛕,蛔
蛺,蛱
蛻,蜕
蜆,蚬
蜋,螂
蜖,蛔
蜨,蝶
蝀,𬟽
蝕,蚀
蝟,猬
蝦,虾
蝨,虱
蝯,猿
蝱,虻
蝸,蜗
螄,蛳
螎,融
螞,蚂
螡,蚊
螢,萤
螮,䗖
螻,蝼
螿,螀
蟁,蚊
蟄,蛰
蟇,蟆
蟈,蝈
蟎,螨
蟣,虮
蟬,蝉
蟯,蛲
蟲,虫
蟶,蛏
蟻,蚁
蠁,蚃
蠅,蝇
蠆,虿
蠍,蝎
蠏,蟹
蠐,蛴
蠑,蝾
蠒,茧
蠔,蚝
蠟,蜡
蠣,蛎
蠨,蟏
蠭,蜂
蠱,蛊
蠶,蚕
蠻,蛮
衂,衄
衆,众
衇,脉
衊,蔑
術,术
衕,同
衚,胡
衛,卫
衝,冲
衞,卫
衺,邪
袞,衮
袟,帙
袵,衽
裊,袅
裌,袷
裏,里
補,补
裝,装
裠,裙
裡,里
製,制
複,复
褌,裈
褘,袆
褭,袅
褲,裤
褳,裢
褸,褛
褻,亵
襀,𫌀
襃,褒
襉,裥
襍,杂
襏,袯
襖,袄
襝,裣
襠,裆
襤,褴
襪,袜
襬,䙓
襯,衬
襲,袭
襴,襕
覇,霸
覈,核
覊,羁
見,见
覎,觃
規,规
覓,觅
覔,觅
視,视
覘,觇
覡,觋
覥,觍
覦,觎
覩,睹
親,亲
覬,觊
覯,觏
覲,觐
覷,觑
覺,觉
覼,𫌨
覽,览
覿,觌
觀,观
觝,抵
觴,觞
觶,觯
觸,触
訁,讠
訂,订
訃,讣
計,计
訊,讯
訌,讧
討,讨
訏,𬣙
訐,讦
訑,𫍙
訒,讱
訓,训
訕,讪
訖,讫
託,托
記,记
訛,讹
訝,讶
訟,讼
訢,䜣
訣,诀
訥,讷
訩,讻
訪,访
設,设
許,许
訴,诉
訶,诃
診,诊
註,注
証,证
詀,𧮪
詁,诂
詆,诋
詎,讵
詐,诈
詒,诒
詔,诏
評,评
詖,诐
詗,诇
詘,诎
詛,诅
